EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInRole,MonthsInCurrentRole,PercentSalaryHike,NumCompaniesWorked,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PromotionInLast5Years,Gender,MaritalStatus,EducationField,Attrition
22,55,IT,Specialist,18499,27,2,13,19,8,13,2,4,2,5,0,Female,Divorced,Technical,0
23,19,Finance,Engineer,7444,2,8,15,24,9,27,3,4,4,0,1,Female,Divorced,Technical,0
24,38,Sales,Engineer,8904,10,1,58,17,3,26,2,2,4,3,0,Male,Single,Medical,0
25,50,Finance,Engineer,2454,37,2,52,12,3,22,3,1,3,5,1,Female,Divorced,Medical,0
26,29,Operations,Executive,12125,13,13,48,25,7,21,2,4,1,2,1,Male,Single,Life Sciences,0
27,39,Sales,Analyst,3129,25,3,42,11,0,4,1,4,4,5,0,Female,Married,Other,0
28,61,Operations,Analyst,12473,20,18,48,18,7,24,2,2,3,2,0,Male,Married,Medical,0
29,42,IT,Manager,8359,38,12,50,11,4,2,4,2,1,5,0,Male,Married,Other,0
30,44,Sales,Analyst,10341,29,6,53,18,0,15,3,3,2,3,0,Male,Divorced,Medical,0
31,59,Operations,Engineer,12039,7,11,32,13,3,12,3,1,4,3,0,Female,Married,Other,0
32,45,IT,Engineer,14182,19,2,29,21,1,27,4,4,4,2,0,Female,Divorced,Technical,1
33,33,Finance,Engineer,4778,31,8,58,22,3,7,4,3,1,5,1,Female,Single,Medical,0
34,32,IT,Manager,8039,21,1,11,11,7,20,1,1,2,3,0,Male,Married,Life Sciences,0
35,64,HR,Engineer,18254,6,8,14,19,4,18,3,3,2,1,1,Female,Single,Other,0
36,61,IT,Analyst,2357,8,11,17,0,0,23,1,1,4,5,1,Female,Divorced,Medical,0
37,20,IT,Executive,6386,0,11,27,13,6,13,3,1,1,3,1,Male,Divorced,Technical,0
38,54,HR,Executive,14445,28,14,22,18,0,17,3,4,3,0,1,Female,Married,Technical,1
39,24,Operations,Specialist,8985,7,1,13,21,8,4,1,1,4,0,1,Male,Married,Technical,0
40,38,Operations,Analyst,15180,3,17,29,18,2,25,3,2,2,1,0,Female,Divorced,Technical,0
41,26,IT,Engineer,18267,34,12,32,13,2,14,3,4,3,3,1,Male,Married,Medical,0
42,56,HR,Executive,15897,2,13,44,18,5,20,1,2,1,0,1,Male,Married,Life Sciences,0
43,35,HR,Analyst,12244,39,4,14,24,9,28,2,3,2,5,1,Female,Single,Other,0
44,21,Finance,Executive,5834,6,9,6,21,5,13,1,3,3,4,0,Male,Divorced,Life Sciences,0
45,42,Operations,Engineer,13726,26,11,14,15,5,3,3,1,4,3,0,Female,Single,Other,0
46,31,Sales,Executive,14940,0,9,51,0,0,26,4,1,2,1,0,Female,Married,Life Sciences,0
47,26,Operations,Specialist,16520,26,10,41,19,4,26,2,2,1,3,0,Female,Single,Medical,0
48,43,Operations,Specialist,5751,15,1,45,22,5,18,4,2,2,2,1,Female,Divorced,Medical,0
49,19,Finance,Executive,13680,37,4,37,23,7,14,2,2,4,2,0,Male,Single,Other,0
50,37,Sales,Analyst,17640,6,6,45,15,0,15,4,3,1,0,1,Male,Single,Medical,0
51,45,Finance,Analyst,2422,22,5,55,18,4,3,2,2,4,2,0,Male,Married,Other,0
52,64,Sales,Analyst,9457,10,2,56,22,2,1,1,4,3,1,0,Female,Divorced,Life Sciences,0
53,24,IT,Executive,17296,32,12,53,11,1,26,2,4,2,0,0,Female,Married,Medical,1
54,61,Sales,Analyst,2730,35,2,43,15,7,24,2,3,4,1,0,Male,Married,Medical,0
55,25,Finance,Engineer,12127,36,5,10,11,6,17,2,2,3,5,1,Male,Divorced,Other,0
56,64,Operations,Specialist,11506,16,10,28,13,9,3,3,2,1,1,0,Female,Single,Other,0
57,52,Sales,Engineer,6433,34,16,30,25,6,14,4,1,1,2,1,Female,Married,Other,1
58,31,Sales,Analyst,15795,4,9,24,24,4,3,1,4,3,5,1,Female,Single,Other,0
59,34,HR,Engineer,17877,31,11,51,25,8,13,4,3,3,2,1,Male,Divorced,Technical,0
60,53,Operations,Analyst,1703,2,16,53,17,4,15,4,2,1,1,1,Female,Married,Other,0
61,57,IT,Executive,18044,34,3,23,22,1,18,1,1,4,2,1,Male,Single,Technical,0
62,21,Finance,Engineer,17399,13,1,56,16,2,14,3,3,3,2,1,Female,Single,Life Sciences,0
63,19,IT,Executive,5248,30,10,18,20,3,21,2,3,4,2,1,Male,Married,Other,0
64,23,Operations,Executive,8218,30,6,1,21,4,26,3,4,1,3,0,Female,Divorced,Technical,0
65,59,Sales,Manager,2593,16,1,21,22,2,3,3,2,4,5,1,Male,Single,Technical,0
66,21,Sales,Analyst,16728,23,17,19,18,6,19,2,3,4,5,0,Male,Divorced,Technical,0
67,46,Operations,Specialist,17534,22,3,32,16,4,8,4,1,3,5,0,Male,Married,Medical,0
68,35,Sales,Analyst,7210,17,7,7,0,4,4,2,1,4,1,1,Female,Single,Technical,0
69,43,Sales,Specialist,11232,13,19,24,11,5,4,1,3,4,4,1,Male,Single,Other,0
70,61,Sales,Analyst,4691,14,13,45,25,6,19,2,1,4,1,0,Male,Single,Other,1
71,51,Finance,Executive,19721,14,11,8,15,9,11,4,3,1,5,0,Female,Divorced,Other,0
72,27,Finance,Engineer,2189,5,17,33,16,9,1,3,1,1,0,1,Male,Single,Technical,0
73,53,HR,Engineer,3603,26,10,56,12,7,8,3,3,2,2,1,Male,Single,Technical,1
74,31,IT,Manager,1865,14,7,22,18,8,15,2,3,1,2,0,Female,Married,Medical,0
75,48,Operations,Specialist,15510,35,1,4,22,3,1,1,3,1,4,0,Male,Single,Life Sciences,0
76,32,Operations,Specialist,13267,7,14,54,24,4,7,4,1,2,0,1,Female,Divorced,Medical,0
77,25,Operations,Specialist,17603,14,8,24,16,4,21,3,3,2,3,0,Male,Married,Other,0
78,31,HR,Executive,14242,2,18,7,23,7,20,2,4,3,1,0,Female,Married,Other,0
79,40,Finance,Specialist,13891,12,19,15,15,8,20,1,3,3,3,1,Male,Single,Other,0
80,57,HR,Engineer,5672,33,7,53,22,6,24,1,2,1,0,0,Male,Married,Medical,0
81,38,Operations,Executive,17123,23,18,47,15,4,11,3,2,4,4,1,Male,Single,Other,0
82,33,IT,Analyst,3878,39,4,44,0,2,27,3,4,3,0,1,Female,Married,Other,0
83,62,Sales,Specialist,19089,31,10,51,22,0,29,4,3,3,4,1,Male,Divorced,Other,0
84,35,Finance,Specialist,13531,31,14,14,25,8,14,1,2,1,3,0,Male,Single,Technical,0
85,64,Finance,Analyst,7169,29,7,0,14,4,22,4,3,4,3,1,Female,Divorced,Life Sciences,0
86,41,HR,Specialist,4235,12,18,21,19,8,16,1,2,2,0,0,Female,Single,Technical,0
87,43,Finance,Analyst,11367,0,7,2,12,9,14,1,1,2,0,1,Female,Divorced,Technical,0
88,42,Operations,Executive,9990,33,18,37,16,3,12,2,1,1,2,1,Male,Divorced,Life Sciences,1
89,62,Operations,Engineer,2456,14,17,53,19,4,17,3,4,1,4,0,Male,Married,Life Sciences,0
90,58,HR,Analyst,10806,13,9,13,12,3,14,1,4,4,2,0,Male,Single,Medical,1
91,46,Operations,Manager,8123,28,6,35,14,1,10,4,3,1,1,0,Female,Married,Life Sciences,0
92,32,IT,Analyst,16408,33,8,17,16,0,24,3,4,1,1,1,Female,Divorced,Medical,0
93,62,HR,Specialist,19358,17,0,46,23,7,29,4,3,1,0,0,Male,Single,Medical,0
94,18,IT,Executive,5960,6,18,40,12,3,14,3,1,4,3,1,Male,Divorced,Technical,0
95,42,Sales,Executive,15486,28,4,17,22,4,18,3,1,1,1,0,Female,Divorced,Other,1
96,24,IT,Analyst,14138,30,18,2,22,5,22,1,2,3,1,1,Female,Divorced,Technical,0
97,26,Sales,Engineer,4350,24,0,9,19,7,9,2,3,4,2,1,Female,Divorced,Technical,0
98,41,Sales,Manager,14799,37,14,48,11,7,17,1,1,3,2,1,Male,Married,Life Sciences,0
99,18,IT,Executive,12198,13,15,38,15,6,6,3,1,4,1,1,Female,Divorced,Life Sciences,0
100,61,HR,Specialist,6094,7,6,46,17,3,8,1,3,3,0,0,Female,Married,Medical,0
101,25,Operations,Specialist,15782,26,11,0,13,5,26,1,2,4,2,0,Female,Divorced,Medical,0
102,41,Operations,Engineer,17785,1,7,26,18,3,13,3,2,2,1,1,Female,Single,Medical,1
103,28,Sales,Executive,15834,16,4,56,21,6,18,3,2,1,3,1,Male,Divorced,Life Sciences,0
104,34,Sales,Analyst,8144,36,9,26,21,0,5,1,2,1,2,0,Female,Divorced,Medical,0
105,25,HR,Specialist,4350,13,4,10,24,4,6,1,1,4,1,0,Male,Single,Medical,0
106,52,Finance,Engineer,16433,24,16,48,17,9,21,1,3,3,4,0,Male,Single,Life Sciences,0
107,52,IT,Executive,1665,29,4,4,16,9,19,4,3,2,2,0,Female,Divorced,Other,1
108,50,Sales,Executive,12201,28,14,6,23,3,4,1,1,3,4,0,Female,Divorced,Technical,0
109,22,Operations,Executive,2419,19,12,18,16,6,7,4,1,1,2,0,Male,Married,Life Sciences,1
110,59,HR,Executive,9805,20,0,56,12,8,4,2,1,1,2,1,Female,Single,Medical,0
111,56,IT,Executive,18875,21,10,55,23,4,25,4,4,3,5,0,Male,Single,Technical,0
112,58,HR,Specialist,17215,34,0,28,15,3,11,1,3,4,5,0,Female,Married,Life Sciences,0
113,45,IT,Engineer,5339,36,10,14,22,8,12,2,3,4,4,1,Male,Divorced,Technical,1
114,24,IT,Executive,19142,15,17,34,22,4,14,4,3,3,0,0,Male,Divorced,Technical,1
115,26,Sales,Manager,13118,16,17,46,14,8,13,4,2,1,1,0,Male,Single,Other,1
116,25,HR,Manager,15019,15,15,36,0,7,29,3,1,3,0,0,Female,Married,Medical,0
117,29,HR,Engineer,12276,1,12,54,20,3,10,2,1,1,0,1,Male,Divorced,Life Sciences,0
118,51,Operations,Analyst,1567,3,6,11,12,6,18,3,1,3,5,0,Male,Single,Medical,0
119,50,Operations,Analyst,11288,20,0,29,22,4,16,2,4,4,1,1,Female,Divorced,Other,0
120,40,Sales,Analyst,7160,38,15,19,21,9,5,4,3,2,5,0,Female,Divorced,Other,0
121,41,Sales,Manager,5978,33,0,36,0,3,8,3,1,1,5,1,Male,Divorced,Life Sciences,0
122,54,Finance,Analyst,9710,29,16,2,13,4,14,1,4,2,5,0,Male,Single,Life Sciences,1
123,52,Operations,Specialist,12422,5,5,8,19,4,5,4,1,4,3,0,Female,Married,Other,0
124,61,IT,Executive,5021,16,1,57,12,8,26,2,2,3,0,0,Male,Married,Life Sciences,0
125,57,HR,Manager,2072,38,16,40,20,8,28,2,3,4,0,1,Female,Divorced,Technical,0
126,39,Sales,Engineer,8582,24,5,38,13,5,24,3,4,2,0,0,Female,Married,Technical,1
127,44,HR,Engineer,6895,4,13,25,18,3,8,3,1,4,3,0,Female,Divorced,Other,0
128,52,HR,Executive,16907,4,17,1,12,1,25,2,3,4,2,1,Male,Single,Medical,0
129,18,Finance,Manager,12594,19,5,22,21,2,26,4,4,3,4,1,Female,Single,Life Sciences,1
130,52,Operations,Analyst,2150,15,9,22,15,1,6,3,3,2,4,1,Male,Single,Life Sciences,0
131,54,Sales,Analyst,7241,36,17,58,15,4,16,1,3,2,3,0,Male,Divorced,Technical,0
132,64,HR,Specialist,14781,39,8,20,16,5,28,2,2,2,0,1,Female,Married,Life Sciences,1
133,31,Sales,Specialist,8338,8,7,15,18,4,4,1,3,1,4,0,Female,Single,Medical,0
134,20,IT,Analyst,4762,4,9,8,21,1,12,2,4,4,3,1,Female,Divorced,Life Sciences,0
135,18,Finance,Engineer,19222,1,16,12,16,4,11,1,3,2,5,1,Female,Married,Life Sciences,0
136,22,IT,Engineer,6496,8,5,27,23,8,3,4,4,4,1,0,Male,Married,Technical,0
137,43,Sales,Specialist,13326,35,13,26,0,3,12,2,3,3,4,0,Male,Married,Life Sciences,1
138,31,Sales,Executive,4327,21,5,50,25,9,5,4,1,3,1,0,Female,Divorced,Other,1
139,56,Operations,Analyst,15711,21,6,51,24,1,6,3,2,1,0,0,Male,Divorced,Other,0
140,44,HR,Specialist,6732,21,11,16,17,2,19,2,1,1,4,1,Female,Divorced,Medical,0
141,26,HR,Specialist,3717,33,2,37,14,2,18,4,2,3,3,1,Male,Single,Medical,0
142,32,IT,Analyst,15732,28,13,35,18,8,16,1,4,2,2,1,Male,Divorced,Medical,0
143,32,Finance,Analyst,15526,37,18,0,19,3,23,4,2,3,4,0,Male,Single,Medical,0
144,43,HR,Engineer,15378,32,15,17,22,0,11,2,3,4,4,0,Female,Single,Technical,0
145,59,Operations,Executive,8337,17,6,50,24,0,5,4,3,1,4,1,Male,Single,Life Sciences,0
146,30,IT,Executive,8531,6,7,8,21,6,9,1,1,1,4,1,Male,Divorced,Technical,0
147,49,IT,Analyst,16306,0,17,12,14,6,3,1,2,3,3,0,Male,Single,Medical,0
148,56,Operations,Manager,5216,32,12,39,14,1,8,1,4,2,3,1,Male,Divorced,Life Sciences,0
149,49,Finance,Specialist,4914,0,8,54,24,8,6,3,4,2,2,1,Female,Divorced,Other,0
150,21,Operations,Specialist,19332,23,9,44,21,8,4,2,3,4,3,1,Male,Single,Technical,0
151,47,Finance,Analyst,2070,3,8,14,21,4,12,1,4,1,3,0,Female,Single,Life Sciences,0
152,54,Operations,Manager,14788,3,14,42,23,2,12,3,3,3,0,1,Female,Single,Other,0
153,40,Operations,Engineer,2417,17,19,43,11,2,25,1,3,3,0,0,Male,Divorced,Other,0
154,56,Sales,Analyst,11566,26,1,45,21,2,21,4,3,1,1,1,Male,Divorced,Medical,0
155,62,IT,Analyst,8482,31,12,3,20,5,16,2,1,3,2,0,Female,Single,Other,1
156,32,Operations,Specialist,7836,32,1,32,12,3,10,4,1,1,0,1,Female,Single,Other,0
157,60,Operations,Analyst,19562,27,18,23,19,7,22,3,3,2,2,1,Female,Married,Medical,0
158,46,HR,Analyst,18499,35,1,35,18,4,14,4,3,2,2,1,Male,Single,Life Sciences,0
159,53,IT,Analyst,11441,5,2,50,16,0,13,4,3,3,4,0,Male,Married,Life Sciences,1
160,30,HR,Specialist,13880,15,5,40,0,8,9,1,4,2,5,1,Female,Married,Medical,0
161,49,IT,Engineer,13167,33,2,9,12,0,7,4,3,2,5,1,Female,Divorced,Technical,0
162,24,HR,Engineer,6029,22,9,35,21,5,12,1,3,4,5,0,Female,Divorced,Medical,0
163,39,Operations,Analyst,19019,23,5,19,11,0,5,1,2,1,2,0,Male,Married,Life Sciences,0
164,45,Operations,Specialist,13692,12,15,40,0,2,18,2,2,1,4,1,Male,Married,Technical,0
165,19,Sales,Engineer,10066,17,16,44,18,9,4,3,2,3,1,1,Female,Single,Medical,0
166,59,HR,Engineer,8726,12,18,43,17,4,2,3,2,1,1,1,Male,Married,Life Sciences,1
167,62,Finance,Engineer,6662,36,2,10,24,9,3,3,3,4,5,1,Female,Single,Life Sciences,0
168,23,Sales,Specialist,18090,38,17,11,14,6,26,1,2,3,1,1,Male,Divorced,Life Sciences,0
169,45,HR,Specialist,2819,16,6,17,20,9,12,3,4,3,4,0,Female,Single,Other,0
170,45,HR,Analyst,2641,14,8,29,21,7,3,1,4,1,5,1,Male,Divorced,Other,0
171,61,Sales,Executive,6127,17,19,43,11,8,4,2,2,2,4,0,Male,Married,Technical,1
172,61,Operations,Engineer,16001,22,11,47,0,5,6,3,1,2,1,0,Male,Married,Technical,0
173,37,HR,Executive,4190,29,4,36,16,8,12,1,4,2,5,1,Male,Married,Technical,0
174,47,Operations,Specialist,8823,33,2,19,22,7,19,3,4,2,4,0,Male,Single,Other,1
175,28,Sales,Specialist,4755,3,10,24,20,8,10,3,2,4,3,1,Male,Divorced,Technical,0
176,45,Operations,Specialist,6713,2,3,11,20,9,1,2,2,3,3,0,Male,Divorced,Life Sciences,0
177,42,IT,Executive,5608,6,4,20,24,3,17,4,3,2,4,0,Female,Divorced,Life Sciences,0
178,56,Finance,Specialist,19741,17,0,24,25,8,16,3,4,4,4,1,Female,Divorced,Technical,0
179,50,HR,Analyst,11302,6,17,10,11,6,9,2,2,3,0,1,Female,Divorced,Technical,0
180,18,Finance,Specialist,12913,39,11,8,0,4,25,3,2,1,0,0,Male,Single,Other,0
181,44,Operations,Manager,16495,5,12,49,11,4,21,3,3,1,2,1,Male,Divorced,Life Sciences,0
182,30,HR,Executive,14083,21,8,24,16,0,9,3,4,4,5,1,Male,Married,Medical,0
183,58,Operations,Manager,6521,0,1,34,16,1,27,3,2,3,2,0,Female,Divorced,Medical,0
184,20,IT,Specialist,8082,3,4,51,19,9,23,4,3,2,2,0,Female,Married,Other,0
185,56,Sales,Analyst,14955,28,12,31,15,2,9,4,2,3,1,0,Female,Single,Other,0
186,23,HR,Engineer,14617,20,15,48,14,7,12,3,1,2,3,1,Female,Single,Other,0
187,25,IT,Specialist,18859,25,15,13,12,5,23,3,1,4,1,1,Female,Married,Life Sciences,0
188,44,IT,Analyst,2762,13,2,0,23,9,9,2,2,2,5,1,Female,Divorced,Technical,0
189,26,HR,Executive,8882,8,3,16,21,4,15,2,4,4,4,0,Male,Single,Technical,0
190,54,Operations,Manager,4827,11,10,24,12,0,2,1,1,3,0,1,Female,Single,Other,0
191,50,IT,Manager,11520,5,13,58,20,8,11,4,3,3,5,0,Male,Single,Life Sciences,0
192,59,Finance,Manager,19141,19,2,7,22,2,11,3,2,2,4,0,Female,Divorced,Medical,0
193,61,IT,Executive,18348,23,15,4,21,2,8,4,3,3,5,0,Female,Married,Other,0
194,41,Operations,Analyst,15562,26,14,4,18,1,23,2,1,2,4,0,Male,Married,Life Sciences,0
195,32,Operations,Executive,8274,37,9,40,13,3,6,4,4,3,0,0,Male,Divorced,Other,0
196,49,Finance,Manager,16660,7,8,34,18,1,21,4,3,1,4,0,Male,Single,Life Sciences,0
197,49,IT,Specialist,2730,0,10,18,25,8,20,3,1,2,2,0,Female,Divorced,Life Sciences,0
198,41,Operations,Engineer,10576,23,15,22,25,9,7,3,1,4,5,1,Female,Divorced,Other,1
199,58,HR,Executive,5305,6,9,8,13,6,3,2,1,1,0,0,Male,Married,Technical,0
200,29,Sales,Executive,16215,18,16,53,11,7,8,3,3,4,4,1,Female,Divorced,Other,0
201,56,Sales,Analyst,7250,21,18,29,24,2,18,2,1,3,2,1,Male,Divorced,Technical,0
202,19,Sales,Analyst,17127,34,1,49,13,5,17,2,2,1,2,1,Female,Single,Technical,0
203,20,IT,Executive,14732,29,1,15,15,9,11,1,1,3,3,1,Female,Single,Medical,0
204,54,Finance,Manager,4635,28,5,32,15,5,2,1,2,2,2,1,Female,Married,Life Sciences,1
205,34,Operations,Engineer,8453,21,18,1,14,0,25,1,4,4,1,0,Male,Single,Other,0
206,19,HR,Analyst,3046,10,7,13,24,5,21,4,2,3,0,1,Female,Divorced,Life Sciences,0
207,19,HR,Manager,16957,19,2,45,24,2,27,1,4,4,0,1,Male,Divorced,Medical,0
208,45,IT,Specialist,18978,28,13,0,0,2,24,3,4,4,0,1,Male,Divorced,Technical,0
209,40,Sales,Analyst,3911,33,15,25,12,2,19,3,2,3,4,0,Male,Married,Other,0
210,54,IT,Manager,15613,0,0,57,14,9,7,1,4,2,5,1,Male,Single,Life Sciences,0
211,49,Finance,Manager,5645,30,2,24,15,9,18,4,2,4,4,1,Male,Divorced,Medical,0
212,50,Finance,Engineer,4275,29,17,15,23,7,8,2,3,3,1,1,Male,Single,Technical,0
213,18,Operations,Engineer,14693,17,8,14,25,4,14,4,4,2,5,1,Male,Single,Technical,0
214,36,Operations,Specialist,14351,16,5,25,0,3,7,4,2,3,2,0,Male,Single,Life Sciences,0
215,19,Finance,Manager,14570,37,0,46,23,8,28,2,4,2,4,1,Male,Single,Technical,0
216,61,Finance,Manager,5470,13,9,43,23,8,21,2,1,4,5,0,Female,Married,Medical,0
217,43,Finance,Engineer,15619,22,5,15,18,0,28,2,2,1,2,0,Male,Married,Technical,1
218,49,IT,Analyst,5831,24,11,13,23,1,27,3,1,3,5,1,Female,Married,Other,1
219,23,Finance,Analyst,11795,14,3,28,12,7,4,2,4,4,2,1,Male,Divorced,Other,0
220,49,HR,Executive,3442,21,12,23,19,4,17,2,4,3,5,0,Female,Divorced,Life Sciences,0
221,21,Sales,Engineer,18075,2,16,46,22,6,5,4,3,3,4,1,Female,Divorced,Medical,0
222,28,Finance,Executive,14904,18,7,54,12,0,12,4,2,2,4,1,Female,Married,Technical,0
223,34,Sales,Engineer,2361,33,19,14,20,9,9,1,1,3,1,1,Female,Single,Technical,1
224,55,IT,Specialist,10775,34,2,18,11,4,26,4,3,2,3,0,Female,Married,Technical,0
225,41,Sales,Manager,18533,0,11,7,17,2,20,2,4,4,0,0,Female,Divorced,Other,1
226,22,IT,Specialist,5634,20,6,33,24,9,13,3,4,3,4,1,Male,Divorced,Medical,0
227,51,HR,Engineer,13303,28,11,1,22,1,25,4,3,4,4,1,Male,Single,Technical,0
228,23,IT,Manager,16908,5,1,26,25,1,28,4,1,1,2,0,Male,Married,Life Sciences,0
229,39,IT,Analyst,18920,36,13,9,25,8,18,2,4,4,3,0,Male,Single,Medical,0
230,28,Operations,Analyst,17851,0,4,34,12,3,20,4,4,3,4,0,Male,Married,Medical,0
231,33,Finance,Executive,5631,0,8,22,15,3,9,4,2,1,5,0,Male,Divorced,Technical,0
232,50,Finance,Engineer,13557,26,10,48,25,6,4,2,3,2,3,0,Female,Single,Other,1
233,26,HR,Engineer,12849,20,4,7,11,9,21,4,4,1,0,0,Male,Single,Medical,0
234,23,HR,Analyst,12986,15,2,27,16,9,27,3,1,3,5,0,Female,Married,Life Sciences,1
235,33,Finance,Specialist,6957,39,16,22,22,1,8,1,2,3,2,1,Female,Married,Medical,0
236,46,Operations,Manager,7579,25,1,3,13,2,1,4,3,4,1,0,Female,Married,Other,1
237,20,Finance,Specialist,13953,15,0,13,18,2,17,3,1,2,5,0,Female,Divorced,Life Sciences,0
238,37,Operations,Specialist,19763,27,6,52,23,5,25,4,4,3,0,1,Female,Married,Other,0
239,53,HR,Analyst,13658,0,13,41,19,2,9,1,3,3,5,1,Female,Divorced,Technical,0
240,36,Sales,Analyst,17235,35,4,28,18,4,20,2,3,2,3,1,Male,Married,Medical,0
241,43,HR,Analyst,17330,9,18,0,16,3,13,1,1,2,3,0,Female,Married,Life Sciences,1
242,20,HR,Executive,16625,16,10,3,24,2,2,4,3,4,0,0,Female,Divorced,Other,0
243,36,IT,Specialist,13405,22,1,31,21,7,13,1,1,1,3,1,Male,Married,Technical,0
244,37,IT,Engineer,13798,6,7,32,17,9,9,1,4,2,5,1,Male,Divorced,Life Sciences,1
245,49,IT,Manager,3511,6,8,48,12,2,20,2,2,3,1,1,Male,Divorced,Medical,0
246,24,IT,Executive,4873,14,2,25,20,5,6,4,1,2,5,0,Male,Married,Medical,0
247,58,Operations,Engineer,11835,33,1,16,14,6,28,1,2,3,1,1,Male,Married,Other,0
248,50,Finance,Specialist,12192,3,6,38,11,6,1,1,3,4,3,0,Male,Single,Life Sciences,0
249,57,Sales,Analyst,16027,13,4,22,19,1,28,2,1,1,5,0,Male,Married,Technical,0
250,56,HR,Specialist,14273,13,4,31,25,2,25,3,4,4,3,0,Female,Single,Technical,0
251,35,Operations,Manager,2789,15,19,51,16,9,5,4,1,2,1,0,Male,Married,Technical,0
252,57,Sales,Executive,2947,6,12,14,22,9,3,3,1,3,3,1,Female,Divorced,Other,0
253,18,Operations,Executive,15639,31,19,12,17,3,4,3,1,2,4,1,Male,Divorced,Technical,0
254,28,Operations,Manager,15257,18,5,59,18,6,1,2,2,2,2,1,Male,Single,Life Sciences,0
255,45,HR,Engineer,6962,1,19,1,20,1,14,2,2,2,5,0,Female,Married,Other,0
256,42,Finance,Engineer,9157,9,17,59,20,2,9,4,3,2,4,1,Male,Single,Medical,0
257,40,IT,Executive,6420,16,1,18,16,6,24,3,3,1,3,0,Male,Married,Other,0
258,48,Finance,Executive,11845,36,5,23,19,6,4,1,3,3,3,0,Male,Married,Other,0
259,47,HR,Analyst,9917,11,8,44,24,9,18,3,3,2,2,0,Male,Divorced,Other,0
260,59,HR,Engineer,18660,5,2,23,25,2,14,2,1,3,3,1,Male,Single,Life Sciences,0
261,52,HR,Manager,6708,21,0,10,19,0,25,1,2,1,2,0,Male,Divorced,Medical,0
262,24,Sales,Engineer,2187,31,0,58,22,2,4,1,2,3,5,0,Male,Divorced,Medical,0
263,33,Finance,Analyst,18413,19,18,21,17,4,25,2,2,3,1,1,Female,Divorced,Other,1
264,43,Finance,Executive,14723,0,4,14,21,6,10,1,2,1,2,1,Male,Single,Other,0
265,19,Operations,Executive,9580,5,12,9,18,3,3,3,3,2,2,1,Female,Married,Other,0
266,18,Operations,Analyst,10986,18,18,40,15,0,23,2,1,3,4,0,Female,Married,Life Sciences,0
267,29,Operations,Manager,7594,17,11,26,21,5,7,4,2,4,3,0,Female,Single,Life Sciences,0
268,22,HR,Executive,9192,5,15,59,25,1,10,2,4,3,5,1,Female,Married,Technical,0
269,54,Finance,Specialist,12588,32,18,8,21,2,13,4,1,2,1,0,Female,Single,Medical,0
270,49,HR,Executive,4603,22,2,51,19,3,4,4,4,4,0,0,Female,Single,Technical,0
271,26,Sales,Specialist,3940,22,11,27,11,5,18,2,1,2,2,1,Female,Married,Technical,1
